delta,model,family,bin_lo,bin_hi,n,k,q,ci_lo,ci_hi
0.05,lma,triangular,0.0,0.1,22,2,0.09090909090909091,0.025294896282837792,0.2781538065838578
0.05,lma,triangular,0.1,0.2,20,1,0.05,0.008881219432873136,0.23613589351256675
0.05,lma,triangular,0.2,0.30000000000000004,16,1,0.0625,0.01111905730833121,0.2832926836802987
0.05,lma,triangular,0.30000000000000004,0.4,18,4,0.2222222222222222,0.09000781913382,0.4521502645230549
0.05,lma,triangular,0.4,0.5,15,8,0.5333333333333333,0.3011663015105079,0.7519077474025355
0.05,lma,triangular,0.5,0.6000000000000001,22,20,0.9090909090909091,0.7218461934161421,0.9747051037171622
0.05,lma,triangular,0.6000000000000001,0.7000000000000001,17,11,0.6470588235294118,0.4129996672121182,0.826905138560951
0.05,lma,triangular,0.7000000000000001,0.8,8,6,0.75,0.40926987910258916,0.9285223111419724
0.05,lma,triangular,0.8,0.9,5,5,1.0,0.5655085052479191,1.0000000000000002
0.05,lma,triangular,0.9,1.0,17,17,1.0,0.8156763396284354,1.0
0.1,gpt,random,0.0,0.1,0,0,,,
0.1,gpt,random,0.1,0.2,2,0,0.0,0.0,0.6576280471103807
0.1,gpt,random,0.2,0.30000000000000004,32,8,0.25,0.1325224398262155,0.42106891770246624
0.1,gpt,random,0.30000000000000004,0.4,186,61,0.3279569892473118,0.264564517226145,0.398312323255604
0.1,gpt,random,0.4,0.5,386,160,0.41450777202072536,0.3664395973419417,0.4642608717716676
0.1,gpt,random,0.5,0.6000000000000001,499,269,0.5390781563126252,0.495209344921202,0.5823498705454578
0.1,gpt,random,0.6000000000000001,0.7000000000000001,147,112,0.7619047619047619,0.6869375199260563,0.8235317405432041
0.1,gpt,random,0.7000000000000001,0.8,26,25,0.9615384615384616,0.811068230080416,0.9931781910230102
0.1,gpt,random,0.8,0.9,2,2,1.0,0.34237195288961925,1.0
0.1,gpt,random,0.9,1.0,0,0,,,
0.1,gpt,square,0.0,0.1,0,0,,,
0.1,gpt,square,0.1,0.2,0,0,,,
0.1,gpt,square,0.2,0.30000000000000004,5,3,0.6,0.23071993220883708,0.8823817688407467
0.1,gpt,square,0.30000000000000004,0.4,17,4,0.23529411764705882,0.0955488907167594,0.47262245889171595
0.1,gpt,square,0.4,0.5,45,15,0.3333333333333333,0.21358692207276764,0.479297831907446
0.1,gpt,square,0.5,0.6000000000000001,65,41,0.6307692307692307,0.5092359303460251,0.7377077781093274
0.1,gpt,square,0.6000000000000001,0.7000000000000001,22,20,0.9090909090909091,0.7218461934161421,0.9747051037171622
0.1,gpt,square,0.7000000000000001,0.8,6,6,1.0,0.6096569663469354,0.9999999999999999
0.1,gpt,square,0.8,0.9,0,0,,,
0.1,gpt,square,0.9,1.0,0,0,,,
0.1,gpt,triangular,0.0,0.1,0,0,,,
0.1,gpt,triangular,0.1,0.2,0,0,,,
0.1,gpt,triangular,0.2,0.30000000000000004,4,2,0.5,0.15003570882017148,0.8499642911798285
0.1,gpt,triangular,0.30000000000000004,0.4,17,4,0.23529411764705882,0.0955488907167594,0.47262245889171595
0.1,gpt,triangular,0.4,0.5,54,27,0.5,0.37114361988923295,0.628856380110767
0.1,gpt,triangular,0.5,0.6000000000000001,68,49,0.7205882352941176,0.6043634045165331,0.8132219499299158
0.1,gpt,triangular,0.6000000000000001,0.7000000000000001,16,15,0.9375,0.7167073163197013,0.9888809426916687
0.1,gpt,triangular,0.7000000000000001,0.8,1,1,1.0,0.20654329147389294,1.0
0.1,gpt,triangular,0.8,0.9,0,0,,,
0.1,gpt,triangular,0.9,1.0,0,0,,,
0.1,gma,random,0.0,0.1,480,54,0.1125,0.08725345937971117,0.14389987675343655
0.1,gma,random,0.1,0.2,46,13,0.2826086956521739,0.1732404154491407,0.42548835730293777
0.1,gma,random,0.2,0.30000000000000004,14,14,1.0,0.7846829880728186,1.0
0.1,gma,random,0.30000000000000004,0.4,13,12,0.9230769230769231,0.6668546607175265,0.9862899336203037
0.1,gma,random,0.4,0.5,19,19,1.0,0.8318156346315496,1.0000000000000002
0.1,gma,random,0.5,0.6000000000000001,80,79,0.9875,0.9325356757603457,0.9977900813816939
0.1,gma,random,0.6000000000000001,0.7000000000000001,46,39,0.8478260869565217,0.7177558259368491,0.9242781376598252
