name,alpha,x0_n,rho,claim_id,q_roll,wrong_roll
B1_armA_a0.55_x08_r14,0.55,8,0,382,0.34,0.445
B1_armA_a0.55_x08_r15,0.55,8,0,6,0.37,0.43
B1_armA_a0.55_x12_r00,0.55,12,0,1569,0.99,0.0
B1_armA_a0.55_x12_r01,0.55,12,0,2070,0.63,0.205
B1_armA_a0.55_x12_r02,0.55,12,0,382,0.82,0.125
B1_armA_a0.55_x12_r03,0.55,12,0,6,0.9,0.025
B1_armA_a0.55_x12_r04,0.55,12,0,6,0.915,0.035
B1_armA_a0.55_x12_r05,0.55,12,0,382,0.775,0.115
B1_armA_a0.55_x12_r06,0.55,12,0,1569,0.99,0.0
B1_armA_a0.55_x12_r07,0.55,12,0,2070,0.525,0.275
B1_armA_a0.55_x12_r08,0.55,12,0,2070,0.695,0.185
B1_armA_a0.55_x12_r09,0.55,12,0,1569,0.995,0.0
B1_armA_a0.55_x12_r10,0.55,12,0,382,0.86,0.05
B1_armA_a0.55_x12_r11,0.55,12,0,6,0.775,0.14
B1_armA_a0.55_x12_r12,0.55,12,0,6,0.785,0.11
B1_armA_a0.55_x12_r13,0.55,12,0,382,0.605,0.24
B1_armA_a0.55_x12_r14,0.55,12,0,1569,1.0,0.0
B1_armA_a0.55_x12_r15,0.55,12,0,2070,0.58,0.215
B1_armA_a0.55_x16_r00,0.55,16,0,1569,1.0,0.0
B1_armA_a0.55_x16_r01,0.55,16,0,6,0.975,0.0
B1_armA_a0.55_x16_r02,0.55,16,0,2070,0.825,0.08
B1_armA_a0.55_x16_r03,0.55,16,0,382,0.91,0.035
B1_armA_a0.55_x16_r04,0.55,16,0,382,0.98,0.005
B1_armA_a0.55_x16_r05,0.55,16,0,1569,1.0,0.0
B1_armA_a0.55_x16_r06,0.55,16,0,2070,0.795,0.125
B1_armA_a0.55_x16_r07,0.55,16,0,6,0.98,0.005
B1_armA_a0.55_x16_r08,0.55,16,0,382,0.925,0.045
B1_armA_a0.55_x16_r09,0.55,16,0,2070,0.855,0.05
B1_armA_a0.55_x16_r10,0.55,16,0,6,0.965,0.02
B1_armA_a0.55_x16_r11,0.55,16,0,1569,1.0,0.0
B1_armA_a0.55_x16_r12,0.55,16,0,382,0.955,0.015
B1_armA_a0.55_x16_r13,0.55,16,0,6,0.93,0.025
B1_armA_a0.55_x16_r14,0.55,16,0,2070,0.965,0.01
B1_armA_a0.55_x16_r15,0.55,16,0,1569,1.0,0.0
B1_armA_a0.55_x20_r00,0.55,20,0,2070,0.985,0.0
B1_armA_a0.55_x20_r01,0.55,20,0,1569,1.0,0.0
B1_armA_a0.55_x20_r02,0.55,20,0,382,1.0,0.0
B1_armA_a0.55_x20_r03,0.55,20,0,6,0.995,0.0
B1_armA_a0.55_x20_r04,0.55,20,0,1569,1.0,0.0
B1_armA_a0.55_x20_r05,0.55,20,0,6,0.995,0.0
B1_armA_a0.55_x20_r06,0.55,20,0,382,1.0,0.0
B1_armA_a0.55_x20_r07,0.55,20,0,2070,0.99,0.0
B1_armA_a0.55_x20_r08,0.55,20,0,2070,0.995,0.0
B1_armA_a0.55_x20_r09,0.55,20,0,6,0.995,0.0
B1_armA_a0.55_x20_r10,0.55,20,0,382,0.995,0.005
B1_armA_a0.55_x20_r11,0.55,20,0,1569,1.0,0.0
