model,alpha,Ek,x,stability,h,beta
qwn,0.3,8.026130444333326,0.45159703008456487,unstable,0.7875,1.7965
qwn,0.3,8.026130444333326,0.9999984595245976,stable,0.7875,1.7965
qwn,0.35,7.31705197051372,2.120970568756278e-05,stable,0.7875,1.7965
qwn,0.35,7.31705197051372,0.44478204700892443,unstable,0.7875,1.7965
qwn,0.35,7.31705197051372,0.9999956223125359,stable,0.7875,1.7965
qwn,0.4,6.742142529434745,4.990626645640392e-05,stable,0.7875,1.7965
qwn,0.4,6.742142529434745,0.4376847819960282,unstable,0.7875,1.7965
qwn,0.4,6.742142529434745,0.9999897357350058,stable,0.7875,1.7965
qwn,0.45,6.265105451174446,0.00010226696613765686,stable,0.7875,1.7965
qwn,0.45,6.265105451174446,0.4303317726472706,unstable,0.7875,1.7965
qwn,0.45,6.265105451174446,0.9999790910386295,stable,0.7875,1.7965
qwn,0.5,5.8619109397447335,0.00018901360043081892,stable,0.7875,1.7965
qwn,0.5,5.8619109397447335,0.42281852558718946,unstable,0.7875,1.7965
qwn,0.5,5.8619109397447335,0.9999617011528263,stable,0.7875,1.7965
qwn,0.55,5.515958159886482,0.0003229188224131447,stable,0.7875,1.7965
qwn,0.55,5.515958159886482,0.4150850385856717,unstable,0.7875,1.7965
qwn,0.55,5.515958159886482,0.9999353905873964,stable,0.7875,1.7965
qwn,0.6,5.215377221626895,0.0005190901878148546,stable,0.7875,1.7965
qwn,0.6,5.215377221626895,0.40692634815405415,unstable,0.7875,1.7965
qwn,0.6,5.215377221626895,0.9998978699160681,stable,0.7875,1.7965
qwn,0.65,4.951435933650238,0.0007954127517040017,stable,0.7875,1.7965
qwn,0.65,4.951435933650238,0.3981586259198937,unstable,0.7875,1.7965
qwn,0.65,4.951435933650238,0.9998468092581279,stable,0.7875,1.7965
qwn,0.7,4.717552125575771,0.001173100282829501,stable,0.7875,1.7965
qwn,0.7,4.717552125575771,0.3887318355545364,unstable,0.7875,1.7965
qwn,0.7,4.717552125575771,0.999779921838613,stable,0.7875,1.7965
qwn,0.75,4.508658521018562,0.0016774956100075247,stable,0.7875,1.7965
qwn,0.75,4.508658521018562,0.3787275131014448,unstable,0.7875,1.7965
qwn,0.75,4.508658521018562,0.999695030976913,stable,0.7875,1.7965
qwn,0.8,4.3207859278794105,0.0023394116084871977,stable,0.7875,1.7965
qwn,0.8,4.3207859278794105,0.3682878986099485,unstable,0.7875,1.7965
qwn,0.8,4.3207859278794105,0.999590072142422,stable,0.7875,1.7965
qwn,0.85,4.150784957425504,0.0031972827945998435,stable,0.7875,1.7965
qwn,0.85,4.150784957425504,0.35753687735219875,unstable,0.7875,1.7965
qwn,0.85,4.150784957425504,0.9994630072032236,stable,0.7875,1.7965
qwn,0.9,3.996132352265777,0.004300288103193814,stable,0.7875,1.7965
qwn,0.9,3.996132352265777,0.3465264869824478,unstable,0.7875,1.7965
qwn,0.9,3.996132352265777,0.9993116793726069,stable,0.7875,1.7965
qwn,0.95,3.8547861661368987,0.005712589360538086,stable,0.7875,1.7965
qwn,0.95,3.8547861661368987,0.3352149236768256,unstable,0.7875,1.7965
qwn,0.95,3.8547861661368987,0.9991336738829011,stable,0.7875,1.7965
qwn,1.0,3.7250704942696817,0.007519056963189202,stable,0.7875,1.7965
qwn,1.0,3.7250704942696817,0.32346657580774163,unstable,0.7875,1.7965
qwn,1.0,3.7250704942696817,0.9989262498077087,stable,0.7875,1.7965
qwn,1.05,3.6055829386563936,0.009833456178122181,stable,0.7875,1.7965
qwn,1.05,3.6055829386563936,0.3110607521743083,unstable,0.7875,1.7965
qwn,1.05,3.6055829386563936,0.9986863789694429,stable,0.7875,1.7965
qwn,1.1,3.49512412333907,0.012811308546570983,stable,0.7875,1.7965
qwn,1.1,3.49512412333907,0.29769761556201746,unstable,0.7875,1.7965
qwn,1.1,3.49512412333907,0.9984108886013547,stable,0.7875,1.7965
qwn,1.15,3.3926491011996207,0.016672279088172537,stable,0.7875,1.7965
qwn,1.15,3.3926491011996207,0.28299165469242726,unstable,0.7875,1.7965
qwn,1.15,3.3926491011996207,0.998096673665869,stable,0.7875,1.7965
qwn,1.2,3.297238205584458,0.021743306672037936,stable,0.7875,1.7965
